size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
40,Clora Creation,Viscose Rayon,Blue | Navy,Printed Palazzos,"A pair of navy blue printed woven wide leg palazzos
The model (height 5'8"") is wearing a size 28
Viscose Rayon Hand-wash
Stay cool and comfortable this season with these lightweight and fashionable navy blue palazzos by Clora Creation.  Create a chic, versatile look by pairing them with a sleek tank and gladiator sandals.",A pair of navy blue printed woven wide leg palazzos,Clothing/Women/Palazzos/Clora Creation/More by Clora Creation,979,1399,Women,Out of Stock
S,Libas,Rayon,Blue | White,Straight Kurta,"Blue and white striped straight kurta, has a shirt collar with half hook-and-eye placket, long sleeves, high hem, multiple slits
The model (height 5'8"") is wearing a size S
Look and feel beautiful in this uniquely designed kurta from Libas.  For your next dinner party or family gathering, this blue piece pairs well with dark leggings and chic flats.
Rayon Hand-wash","Blue and white striped straight kurta, has a shirt collar with half hook-and-eye placket, long sleeves, high hem, multiple slits",Clothing/Women/Kurtas/Libas/More by Libas,519,1299,Women,In Stock
M,Libas,Silk,Brown | Coffee Brown,Kurta with Palazzos,"Coffee brown solid kurta with palazzos Coffee brown straight calf length kurta, has a keyhole neck, three-quarter sleeves, straight hem, side slits Coffee brown solid palazzos, slip-on closure
The model (height 5'8"") is wearing a size S
Celebrate your personal style and roots with this elegant coffee brown kurta set from Libas.  Accessorize this kurta set with sparkly bangles and heels for an elegant look.
Top fabric: Tussar Silk Bottom fabric: Tussar Silk Hand-wash","Coffee brown solid kurta with palazzos Coffee brown straight calf length kurta, has a keyhole neck, three-quarter sleeves, straight hem, side slits Coffee brown solid palazzos, slip-on closure",Clothing/Women/Kurta Sets/Libas/More by Libas,1119,2799,Women,Out of Stock
XL,Anouk,viscose,Navy,Straight Kurta,"Navy blue printed straight kurta, has a v-neck, three-quarter sleeves, curved hem
The model (height 5'8'') is wearing a size S
100% viscose  Machine-wash
This lux kurta from Anouk will help you maintain an elegant look all year long.  Look chic for the day with this navy blue kurta and leggings.","Navy blue printed straight kurta, has a v-neck, three-quarter sleeves, curved hem",Clothing/Women/Kurtas/Anouk/More by Anouk,1099,1099,Women,Out of Stock
XS,Global Desi,cotton,White,Shrug,"White net sheer shrug with embroidered detail, has an open front, three-quarter sleeves
The model (height 5'6"") is wearing a size S
Make a chic addition to your winter roster with this shrug. Team it with everything from a pleated skirt to skinny jeans.
80% cotton, 20% nylon Hand-wash","White net sheer shrug with embroidered detail, has an open front, three-quarter sleeves",Clothing/Women/Shrug/Global Desi/More by Global Desi,719,2399,Women,Out of Stock
4-5Y,Aj DEZInES,Silk,Black | Grey,,"Black and grey sherwani with dupatta Black and white woven design sherwani, has a mandarin collar, a short button placket, a welt pocket Comes with a pocket square and a brooch A pair of black mid-rise jodhpuri pants with gathers and pleated detail Comes with black and grey solid&nbsp;dupatta
Regular Fit
Bring this exclusive three piece Sherwani set to your child for giving him a different new ethnic look presented by Aj DEZInES. The complete set is made up of finest silk blend fabric for giving all day comfort to your child. 
60% Jacquard, 40% Silk Cotton Dupatta Fabric: Velvet  Machine Wash","Black and grey sherwani with dupatta Black and white woven design sherwani, has a mandarin collar, a short button placket, a welt pocket Comes with a pocket square and a brooch A pair of black mid-rise jodhpuri pants with gathers and pleated detail Comes with black and grey solid&nbsp;dupatta",Clothing/Boys/Sherwani/Aj DEZInES/More by Aj DEZInES,1499,2999,Boys,In Stock
4-5Y,612 league,Cotton,Beige | Red,Kurta with Churidar,"Red and beige solid kurta with churidar  Red and beige straight knee length kurta, has a mandarin collar, short sleeves, straight hem  Red and beige solid churidar, drawstring closure
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Hand-wash
Stylish and classy, this kurta set from 612 league would be the perfect way to dress up your little master for the upcoming festivities. Club it up with mojaris to make him the cynosure of all eyes.","Red and beige solid kurta with churidar  Red and beige straight knee length kurta, has a mandarin collar, short sleeves, straight hem  Red and beige solid churidar, drawstring closure",Clothing/Boys/Kurta Sets/612 league/More by 612 league,1047,2095,Boys,In Stock
L,Jompers,Silk,Beige | Red,Kurta with Churidar,"Red and beige self design kurta with churidar Red and beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid churidar, drawstring closure
The model (height 6') is wearing a size M
Top fabric: Silk Blend Bottom fabric: Cotton Blend Hand-wash
Complete your look with this kurta from Jompers.  When you need a stylish ensemble for your next family function or party, sport this red piece with a pair of fitted jeans.","Red and beige self design kurta with churidar Red and beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid churidar, drawstring closure",Clothing/Men/Kurta Sets/Jompers/More by Jompers,1499,1999,Men,In Stock
M,Libas,Viscose Rayon,Red,Ethnic Jacket,"Red printed woven A-line dress, has a round neck, short sleeves, asymmetric hem Comes with red striped ethnic jacket
Regular Fit The model (height 5'8"") is wearing a size S
Viscose Rayon Hand-wash
Set the tone for this season with this one-of-a-kind Libas dress.  For a semi-formal brunch look, pair this printed red piece with strappy heels and a cute clutch.","Red printed woven A-line dress, has a round neck, short sleeves, asymmetric hem Comes with red striped ethnic jacket",Clothing/Women/Dresses/Libas/More by Libas,989,2199,Women,In Stock
11-12Y,SOJANYA,Silk,Black | Blue,Solid Kurta,"Blue and black solid kurta with harem pants Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits Black Solid harem pants, has elasticated waistband, slip-on closure Comes with a&nbsp;blue and white printed nehru jacket, has a mandarin collar, sleeveless
Top fabric: 80% Silk &amp; 20% Cotton Bottom fabric: 80% Silk &amp; 20% Cotton Machine-wash
This is must collection from&nbsp;SOJANYA for your kid's wardrobe this festive season.","Blue and black solid kurta with harem pants Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits Black Solid harem pants, has elasticated waistband, slip-on closure Comes with a&nbsp;blue and white printed nehru jacket, has a mandarin collar, sleeveless",Clothing/Boys/Kurta Sets/SOJANYA/More by SOJANYA,1599,3999,Boys,In Stock
33,W,Viscose,,Wide Leg Palazzo,"A pair of peach-coloured and golden printed woven wide leg palazzos, has concealed zip closure, partially elasticated waistband
The model (height 5'8"") is wearing a size 29
Perfect for spring weather, these peach-coloured palazzos from W are cozy and playful.  Pair them with a flowy blouse and heels for a chic look.
ViscoseDry-clean","A pair of peach-coloured and golden printed woven wide leg palazzos, has concealed zip closure, partially elasticated waistband",Clothing/Women/Palazzos/W/More by W,1099,1999,Women,In Stock
Double Queen,Story@home,Cotton,Yellow,,"Set content: 1 Queen bedsheet with 2 pillow covers Quality: Regular Thread count: 152 Colour: Yellow Pattern: Geometric flat
Queen bedsheet:&nbsp;2.50 X 2.25&nbsp;(length x width in metre) Pillow covers:&nbsp;46 X 69&nbsp;(length x width in centimeter)
Add grace to your bedroom space with this trendy bedsheet with pillow covers from Story@home. Styled with an enthralling design and pattern, it will flaunt the rich taste in your bed linen collection.
Cotton Machine-wash",Set content: 1 Queen bedsheet with 2 pillow covers Quality: Regular Thread count: 152 Colour: Yellow Pattern: Geometric flat,Home/Unisex/Bedsheets/Story@home/More by Story@home,539,1199,Unisex,In Stock
S,Ethnicity,Polyester,Blue,A-Line Kurta,"Blue solid A-line kurta, has a round neck, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Polyester  Dry-clean
Complete your look with this kurta from Ethnicity.  This blue piece is a great option for any evening event when combined with your favourite trousers or jeans.","Blue solid A-line kurta, has a round neck, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/Ethnicity/More by Ethnicity,1499,1499,Men,In Stock
XL,British Club,cotton,Green,Straight Kurta,"Green printed straight kurta, has a mandarin collar, long sleeves, curved hem
The model (height 6') is wearing a size M
Sport this classic kurta from British Club this season.  Dress this green piece up with your favourite accessories and head out to any family event in style.
100% cottonMachine-wash","Green printed straight kurta, has a mandarin collar, long sleeves, curved hem",Clothing/Men/Kurtas/British Club/More by British Club,678,1695,Men,In Stock
S,Fabindia,Cotton,,Straight Kurta,"Off-White solid straight kurta with pintucks, has a round neck, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Cotton  Hand-wash
This stunning kurta from Fabindia will help you maintain an elegant look all year long.  This off-white piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.","Off-White solid straight kurta with pintucks, has a round neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Fabindia/More by Fabindia,1190,1190,Women,Out of Stock
XXL,Sangria,Polyester,,Straight Kurta,"Cream-coloured solid straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
100% Polyester Hand-wash
This modern kurta from Sangria will take your personal style to new heights.  For your next dinner party or family gathering, this beige piece pairs well with dark leggings and chic flats.","Cream-coloured solid straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Sangria/More by Sangria,999,2499,Women,Out of Stock
M,Svanik,Chanderi,Beige | Green,Straight Kurta,"Green and beige printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Chanderi Silk  Machine-wash
Flaunt your style with a kurta from Svanik.  This green piece is a great option for any evening event when combined with your favourite trousers or jeans.","Green and beige printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/Svanik/More by Svanik,1214,2699,Men,Out of Stock
S,Manyavar,Silk,Green | Sea Green,Kurta with Churidar,"Sea Green self design kurta with churidar  Sea Green A-line knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits  Sea Green solid churidar, drawstring closure Sea Green dupatta
The model (height 6') is wearing a size M
Sport this classic kurta from Manyavar this season.  Dress this sea green piece up with your favourite accessories and head out to any family event in style.
Top fabric: Silk Blend Bottom fabric: Silk Blend Dry-clean","Sea Green self design kurta with churidar  Sea Green A-line knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits  Sea Green solid churidar, drawstring closure Sea Green dupatta",Clothing/Men/Kurta Sets/Manyavar/More by Manyavar,4999,4999,Men,In Stock
XL,Svanik,Polyester,Maroon | Grey,Kurta with Pyjamas,"Grey and maroon solid kurta with pyjamas&nbsp;and Nehru Jacket Grey straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, slip on closure Grey solid Nehru Jacket,&nbsp;has a mandarin collar, full button placket, sleeveless, two welt pockets
The model (height 6') is wearing a size M
Top fabric: Polyester Bottom fabric: Polyester Dry-clean
From Svanik, this kurta is a great way to show off your style.  This grey piece is a great option for any evening event when combined with your favourite trousers or jeans.","Grey and maroon solid kurta with pyjamas&nbsp;and Nehru Jacket Grey straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, slip on closure Grey solid Nehru Jacket,&nbsp;has a mandarin collar, full button placket, sleeveless, two welt pockets",Clothing/Men/Kurta Sets/Svanik/More by Svanik,1599,3999,Men,Out of Stock
XL,Rohit Bal Limited,Cotton,Black,Kurta with Pyjamas,"Black yoke design kurta with pyjamas Black yoke design calf length kurta, has a mandarin collar, long sleeves, straight hem, side slits Black solid pyjamas, drawstring closure Disclaimer: Due to hand-dyeing and hand printing in this fine garment, color stains may occur and also color bleeding if contact with either by washing or perspiration.
The model (height 6') is wearing a size M
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Dry-clean
This in-style kurta from Rohit Bal Limited is a must-have for any wardrobe.  Dress this black piece up with your favourite accessories and head out to any family event in style.","Black yoke design kurta with pyjamas Black yoke design calf length kurta, has a mandarin collar, long sleeves, straight hem, side slits Black solid pyjamas, drawstring closure Disclaimer: Due to hand-dyeing and hand printing in this fine garment, color stains may occur and also color bleeding if contact with either by washing or perspiration.",Clothing/Men/Kurta Sets/Rohit Bal Limited/More by Rohit Bal Limited,4600,5750,Men,Out of Stock
XS,Anouk,Cotton,Red,A-Line Kurta,"Red printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem.
The model (height 5'8"") is wearing a size S.
Look and feel beautiful in this uniquely designed kurta from Anouk.  Look chic for the day with this red kurta and leggings.
Cotton  Hand-wash","Red printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem.",Clothing/Women/Kurtas/Anouk/More by Anouk,2499,2499,Women,Out of Stock
36,Ishin,Cotton,Pink,Straight Palazzo,"A pair of pink self design woven straight palazzos, has an elasticated waistband with drawstring closure
The model (height 5'8"") is wearing a size 28
Perfect for spring weather, these pink palazzos from Ishin are cozy and playful.  Pair them with a cropped tank and sandals for a chic summer look.
Cotton Hand-wash","A pair of pink self design woven straight palazzos, has an elasticated waistband with drawstring closure",Clothing/Women/Palazzos/Ishin/More by Ishin,494,1099,Women,In Stock
S,See Designs,Cotton,Blue,Kurta with Trousers,"Blue solid kurta with trousers Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid trousers, has elasticated waistband, drawstring closure
The model (height 6') is wearing a size M
Complete your look with this kurta from See Designs.  When you need a stylish ensemble for your next family function or party, sport this blue piece with a pair of fitted jeans.
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Machine-wash","Blue solid kurta with trousers Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid trousers, has elasticated waistband, drawstring closure",Clothing/Men/Kurta Sets/See Designs/More by See Designs,1199,2999,Men,In Stock
XXL,Biba,Cotton,Blue | White,Kurta with Trousers & Dupatta,"Blue and white printed kurta with trousers and dupatta Blue printed straight calf length kurta with embroidered detail, has a round neck, short sleeves, side slits White solid trousers, has partially elasticated waistband, drawstring closure Blue and white striped dupatta, has taping border Manufacturer Info: Biba Apparels Pvt. Ltd. Country of Origin: India
The model (height 5'8"") is wearing a size M
Kurta fabric: Pure cotton Bottom fabric: Pure cotton Dupatta fabric: Pure cotton Hand-wash
Celebrate your personal style and roots with this elegant kurta set from Biba. Define your figure in this kurta set with a skinny belt for a modern take on this traditional garment.","Blue and white printed kurta with trousers and dupatta Blue printed straight calf length kurta with embroidered detail, has a round neck, short sleeves, side slits White solid trousers, has partially elasticated waistband, drawstring closure Blue and white striped dupatta, has taping border Manufacturer Info: Biba Apparels Pvt. Ltd. Country of Origin: India",Clothing/Women/Kurta Sets/Biba/More by Biba,2999,2999,Women,Out of Stock
S,Libas,Cotton,White | Magenta,A-Line Kurta,"White and magenta printed A-line kurta, has a mandarin collar with beads and sequins detail, three-quarter sleeves, flared hem
The model (height 5'8"") is wearing a size S
Cotton Hand-wash
Make a statement with this elegant kurta from Libas.  Dress up for your next family event by pairing this white piece with your best Kolhapuris and simple jewellery.","White and magenta printed A-line kurta, has a mandarin collar with beads and sequins detail, three-quarter sleeves, flared hem",Clothing/Women/Kurtas/Libas/More by Libas,999,1999,Women,In Stock
XXL,Purple State,Cotton,Black | Purple,Straight Kurta,"Black solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Cotton Machine-wash
Complete your look with this kurta from Purple State.  Achieve a comfortably chic look for your next dinner party or family outing when you team this black piece with slim trousers and minimal flair.","Black solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/Purple State/More by Purple State,779,2599,Men,In Stock
XXL,Shree,Viscose Rayon,Grey | Charcoal,Tunic,"Charcoal grey solid tunic, has a shirt collar, three-quarter sleeves, asymmetric hem
The model (height 5'8'') is wearing a size S
Viscose Rayon Hand-wash
Taking the bright colours of summer and nature, Shree inspires the Women of style and substance to experiment with a range of colours from sophisticated black to subtle pastels and vibrant shades. So match the shade to your personality! Mix and match from a variety of colours and prints for a feminine look, or a modern twist.","Charcoal grey solid tunic, has a shirt collar, three-quarter sleeves, asymmetric hem",Clothing/Women/Tunics/Shree/More by Shree,449,899,Women,In Stock
5-6Y,SG YUVRAJ,Silk,Maroon | Blue | Navy,Kurta with Trousers,"Maroon and navy blue solid kurta with trousers Maroon and navy blue straight calf length kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits Maroon and navy blue Solid trousers, has partially elasticated waistband, drawstring closure Comes with a self-design jacket, has long sleeves, asymmetric hem 
Let your little guy gain due attention with this kurta set from SG YUVRAJ. Help him style a good hairstyle to complete a well-groomed look.
Top fabric: Raw Silk Bottom fabric: Raw Silk Jacket fabric: Raw silk  Dry-clean","Maroon and navy blue solid kurta with trousers Maroon and navy blue straight calf length kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits Maroon and navy blue Solid trousers, has partially elasticated waistband, drawstring closure Comes with a self-design jacket, has long sleeves, asymmetric hem ",Clothing/Boys/Kurta Sets/SG YUVRAJ/More by SG YUVRAJ,1399,3999,Boys,In Stock
S,Sangria,Cotton,Maroon,A-Line Kurta,"Maroon printed A-line kurta, has a V-neck, three-quarter sleeves, straight hem, side slits
You'll love the style, comfort and durability of this Sangria kurta. For your next dinner party or family gathering, this maroon piece pairs well with dark leggings and chic flats.
CottonHand-wash","Maroon printed A-line kurta, has a V-neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Sangria/More by Sangria,749,1499,Women,In Stock
M,even,Cotton,Yellow,A-Line Kurta,"Yellow solid A-line kurta, has a mandarin collar, short sleeves, straight hem, side slits, has one pocket
The model (height 6') is wearing a size M
This in-style kurta from even is a must-have for any wardrobe.  Dress this yellow piece up with your favourite accessories and head out to any family event in style.
Cotton  Machine-wash","Yellow solid A-line kurta, has a mandarin collar, short sleeves, straight hem, side slits, has one pocket",Clothing/Men/Kurtas/even/More by even,765,1595,Men,In Stock
XXL,Shree,Viscose Rayon,Yellow | Purple,Straight Kurta,"Yellow, purple and blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits
The model (height 5'8"") is wearing a size S
Viscose RayonHand-wash
You'll love the style, comfort and durability of this Shree kurta.  Look chic for the day with this yellow kurta and leggings.","Yellow, purple and blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits",Clothing/Women/Kurtas/Shree/More by Shree,539,1199,Women,Out of Stock
Onesize,Rajesh Silk Mills,Net,Beige | Blue,Lehenga & Blouse with Dupatta,"Beige lehenga choli dupatta,  has zari Beige blouse, has a round neck, long sleeves Beige semi-stitched lehenga, straight hem
Blouse fabric: Tissue Lehenga fabric: Net Lehenga lining fabric: Satin Dupatta fabric: Net
Nothing jazzes up a celebration like a good old lehenga choli with Zari. This set from Rajesh Silk Mills with its heavy bead and stone detailing is reminiscent of the grandeur of the Rajasthani royal courts. Wear this set with heavy jhumkas, jeweled hairpins and embellished sandals to be the cynosure of all eyes.","Beige lehenga choli dupatta,  has zari Beige blouse, has a round neck, long sleeves Beige semi-stitched lehenga, straight hem",Clothing/Women/Lehenga Choli/Rajesh Silk Mills/More by Rajesh Silk Mills,929,3099,Women,In Stock
L,Global Desi,Polyester,Blue,Treggings,"A pair of blue mid-rise treggings, has two pockets and two mock pockets, elasticated waistband
The model (height 5'8'') is wearing a size S
Polyester Hand-wash
This stylish pair of treggings will upgrade your style quotient instantly. Wear it with a loose top and a pair of heels for a youthful look.","A pair of blue mid-rise treggings, has two pockets and two mock pockets, elasticated waistband",Clothing/Women/Leggings/Global Desi/More by Global Desi,449,1499,Women,Out of Stock
L,Manu,Silk,Beige | Maroon,Kurta with Pyjamas,"Maroon and beige solid kurta with pyjamas Maroon straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, drawstring closure
The model (height 6') is wearing a size M
From Manu, this kurta is a great way to show off your style.  Dress this maroon piece up with your favourite accessories and head out to any family event in style.
Top fabric: Silk Blend Bottom fabric: Silk Blend Dry-clean","Maroon and beige solid kurta with pyjamas Maroon straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slits Maroon solid pyjamas, drawstring closure",Clothing/Men/Kurta Sets/Manu/More by Manu,1499,2999,Men,Out of Stock
XL,I AM FOR YOU,Viscose Rayon,Black | Orange,A-Line Dress,"Orange and black printed woven A-line dress, has a V-neck, three-quarter sleeves, flared hem
Regular Fit The model (height 5'8"") is wearing a size S
This trendy dress from I AM FOR YOU will make a great addition to any wardrobe.  Match this printed orange piece with an incredible statement bag and high heels to maximise your next lunch look.
Viscose Rayon  Machine-wash","Orange and black printed woven A-line dress, has a V-neck, three-quarter sleeves, flared hem",Clothing/Women/Dresses/I AM FOR YOU/More by I AM FOR YOU,999,3999,Women,In Stock
XS,Libas,Viscose Rayon,Maroon,Straight Kurta,"Maroon solid straight kurta, has a round neck, long sleeves, button closure, straight hem, side slits
The model (height 5'8"") is wearing a size S
Viscose Rayon Machine-wash
Make a statement with this elegant kurta from Libas.  Look chic for the day with this maroon kurta and leggings.","Maroon solid straight kurta, has a round neck, long sleeves, button closure, straight hem, side slits",Clothing/Women/Kurtas/Libas/More by Libas,599,1499,Women,Out of Stock
L,Libas,Viscose Rayon,Grey | Orange,Kurta with Palazzos,"Grey and orange checked kurta with palazzosGrey and orange checked A-line calf length kurta, has a round neck, three-quarter bell sleeves with tie-up detail, asymmetric hemGrey and orange checked palazzos with printed detail, has a partially elasticated waistband, 2 pockets
The model (height 5'8"") is wearing a size S
Top fabric: Viscose Rayon Bottom fabric: Viscose Rayon Machine-wash
Look elegant in the stunning design of this grey kurta set from Libas.  Perfect for breezy summer days, accessorize this kurta set with gold statement jewellery.","Grey and orange checked kurta with palazzosGrey and orange checked A-line calf length kurta, has a round neck, three-quarter bell sleeves with tie-up detail, asymmetric hemGrey and orange checked palazzos with printed detail, has a partially elasticated waistband, 2 pockets",Clothing/Women/Kurta Sets/Libas/More by Libas,1599,3199,Women,In Stock
XXL,See Designs,Cotton,Blue,A-Line Kurta,"Blue solid A-line kurta, has a mandarin collar, long sleeves, curved hem, side slits
The model (height 6') is wearing a size M
Cotton&nbsp; Hand-wash
Sport this classic kurta from See Designs this season.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.","Blue solid A-line kurta, has a mandarin collar, long sleeves, curved hem, side slits",Clothing/Men/Kurtas/See Designs/More by See Designs,879,2199,Men,In Stock
